Время начала - сс.мс	Время окончания - сс.мс	text@iys1984f	text@vnp1986f	words@iys1984f	words@vnp1986f	gesture@iys1984f	gesture@vnp1986f	gestMeaning@iys1984f	gestMeaning@vnp1986f	intonation@iys1984f	intonation@vnp1986f	gram@iys1984f	gram@vnp1986f	pos@iys1984f	pos@vnp1986f	
122.798	123.104	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		/						нарратив		_		PUNCT	
123.104	123.416	когда я общаюсь с людьми м / вот т... твоей профессии или вот / что-то около того / как будто в музей хожу / потому что ну я так прикасаюсь к чему-то э непонятному моему миру совершенно а когда читаешь биографии поэтов / то вообще с ума сходишь думаешь / блин почему люди так жили странно ? //		/						нарратив		_		PUNCT	
123.636	123.933	вот ты когда читаешь какие-то биографии поэтов / какая из них тебе кажется / тебе кажется наиболее странной ? // что это чето сумасшествие какое-то //		вот						вопрос специальный		_		PART	
123.933	124.23	вот ты когда читаешь какие-то биографии поэтов / какая из них тебе кажется / тебе кажется наиболее странной ? // что это чето сумасшествие какое-то //		ты						вопрос специальный		Case=Nom|Number=Sing|Person=2		PRON	
124.23	124.527	вот ты когда читаешь какие-то биографии поэтов / какая из них тебе кажется / тебе кажется наиболее странной ? // что это чето сумасшествие какое-то //		когда						вопрос специальный		_		SCONJ	
124.527	124.824	вот ты когда читаешь какие-то биографии поэтов / какая из них тебе кажется / тебе кажется наиболее странной ? // что это чето сумасшествие какое-то //		читаешь						вопрос специальный		Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act		VERB	
124.824	125.121	вот ты когда читаешь какие-то биографии поэтов / какая из них тебе кажется / тебе кажется наиболее странной ? // что это чето сумасшествие какое-то //		какие-то						вопрос специальный		Case=Acc|Number=Plur		DET	
125.121	125.418	вот ты когда читаешь какие-то биографии поэтов / какая из них тебе кажется / тебе кажется наиболее странной ? // что это чето сумасшествие какое-то //		биографии						вопрос специальный		Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur		NOUN	
125.418	125.715	вот ты когда читаешь какие-то биографии поэтов / какая из них тебе кажется / тебе кажется наиболее странной ? // что это чето сумасшествие какое-то //		поэтов						вопрос специальный		Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur		NOUN	
125.715	126.012	вот ты когда читаешь какие-то биографии поэтов / какая из них тебе кажется / тебе кажется наиболее странной ? // что это чето сумасшествие какое-то //		/						вопрос специальный		_		PUNCT	
126.012	126.309	вот ты когда читаешь какие-то биографии поэтов / какая из них тебе кажется / тебе кажется наиболее странной ? // что это чето сумасшествие какое-то //		какая						вопрос специальный		Case=Nom|Gender=Fem|Number=Sing		DET	
126.309	126.606	вот ты когда читаешь какие-то биографии поэтов / какая из них тебе кажется / тебе кажется наиболее странной ? // что это чето сумасшествие какое-то //		из						вопрос специальный		_		ADP	
126.606	126.903	вот ты когда читаешь какие-то биографии поэтов / какая из них тебе кажется / тебе кажется наиболее странной ? // что это чето сумасшествие какое-то //		них						вопрос специальный		Case=Gen|Number=Plur|Person=3		PRON	
126.903	127.2	вот ты когда читаешь какие-то биографии поэтов / какая из них тебе кажется / тебе кажется наиболее странной ? // что это чето сумасшествие какое-то //		тебе						вопрос специальный		Case=Dat|Number=Sing|Person=2		PRON	
127.2	127.497	вот ты когда читаешь какие-то биографии поэтов / какая из них тебе кажется / тебе кажется наиболее странной ? // что это чето сумасшествие какое-то //		кажется						вопрос специальный		Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid		VERB	
127.497	127.794	вот ты когда читаешь какие-то биографии поэтов / какая из них тебе кажется / тебе кажется наиболее странной ? // что это чето сумасшествие какое-то //		/						вопрос специальный		_		PUNCT	
127.794	128.091	вот ты когда читаешь какие-то биографии поэтов / какая из них тебе кажется / тебе кажется наиболее странной ? // что это чето сумасшествие какое-то //		тебе						вопрос специальный		Case=Dat|Number=Sing|Person=2		PRON	
128.091	128.388	вот ты когда читаешь какие-то биографии поэтов / какая из них тебе кажется / тебе кажется наиболее странной ? // что это чето сумасшествие какое-то //		кажется						вопрос специальный		Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid		VERB	
128.388	128.685	вот ты когда читаешь какие-то биографии поэтов / какая из них тебе кажется / тебе кажется наиболее странной ? // что это чето сумасшествие какое-то //		наиболее						вопрос специальный		Degree=Pos		ADV	
128.685	128.982	вот ты когда читаешь какие-то биографии поэтов / какая из них тебе кажется / тебе кажется наиболее странной ? // что это чето сумасшествие какое-то //		странной						вопрос специальный		Case=Ins|Degree=Pos|Gender=Fem|Number=Sing		ADJ	
128.982	129.279	вот ты когда читаешь какие-то биографии поэтов / какая из них тебе кажется / тебе кажется наиболее странной ? // что это чето сумасшествие какое-то //		?						вопрос специальный		_		PUNCT	
129.279	129.576	вот ты когда читаешь какие-то биографии поэтов / какая из них тебе кажется / тебе кажется наиболее странной ? // что это чето сумасшествие какое-то //		/						вопрос специальный		_		PUNCT	
129.576	129.873	вот ты когда читаешь какие-то биографии поэтов / какая из них тебе кажется / тебе кажется наиболее странной ? // что это чето сумасшествие какое-то //		/						вопрос специальный		_		PUNCT	
129.873	130.17	вот ты когда читаешь какие-то биографии поэтов / какая из них тебе кажется / тебе кажется наиболее странной ? // что это чето сумасшествие какое-то //		что						вопрос специальный		Case=Nom		PRON	
130.17	130.467	вот ты когда читаешь какие-то биографии поэтов / какая из них тебе кажется / тебе кажется наиболее странной ? // что это чето сумасшествие какое-то //		это						вопрос специальный		Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing		PRON	
130.467	130.764	вот ты когда читаешь какие-то биографии поэтов / какая из них тебе кажется / тебе кажется наиболее странной ? // что это чето сумасшествие какое-то //		чето						вопрос специальный		Case=Nom		PRON	
130.764	131.061	вот ты когда читаешь какие-то биографии поэтов / какая из них тебе кажется / тебе кажется наиболее странной ? // что это чето сумасшествие какое-то //		сумасшествие						вопрос специальный		Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing		NOUN	
131.061	131.358	вот ты когда читаешь какие-то биографии поэтов / какая из них тебе кажется / тебе кажется наиболее странной ? // что это чето сумасшествие какое-то //		какое-то						вопрос специальный		Case=Nom|Gender=Neut|Number=Sing		DET	
131.358	131.655	вот ты когда читаешь какие-то биографии поэтов / какая из них тебе кажется / тебе кажется наиболее странной ? // что это чето сумасшествие какое-то //		/						вопрос специальный		_		PUNCT	
131.655	131.956	вот ты когда читаешь какие-то биографии поэтов / какая из них тебе кажется / тебе кажется наиболее странной ? // что это чето сумасшествие какое-то //		/						вопрос специальный		_		PUNCT	
